,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
142,upernavik,100.0,GL,1529587835.0,93.0,72.79,-56.15,33.74,5.39
143,nanortalik,92.0,GL,1529587607.0,95.0,60.14,-45.24,37.45,17.81
144,evensk,0.0,RU,1529587835.0,100.0,61.92,159.24,41.12,1.92
145,thompson,20.0,CA,1529582400.0,72.0,55.74,-97.86,62.6,5.82
146,hobart,75.0,AU,1529586000.0,80.0,-42.88,147.33,41.0,6.93
147,richards bay,0.0,ZA,1529587836.0,70.0,-28.77,32.06,70.91,8.86
148,esso,88.0,RU,1529587836.0,91.0,55.93,158.7,34.37,1.7
149,arraial do cabo,0.0,BR,1529586000.0,73.0,-22.97,-42.02,75.2,4.7
150,jamestown,32.0,SH,1529587815.0,100.0,-15.94,-5.72,70.82,17.13
151,tarancon,20.0,ES,1529586000.0,22.0,40.01,-3.01,89.6,3.36
153,ordzhonikidze,12.0,UA,1529587836.0,61.0,44.96,35.36,82.16,3.04
154,castro,92.0,CL,1529587593.0,99.0,-42.48,-73.76,44.01,7.18
155,port alfred,0.0,ZA,1529587820.0,63.0,-33.59,26.89,70.37,8.52
156,pitimbu,75.0,BR,1529586000.0,69.0,-7.47,-34.81,80.6,14.99
157,ushuaia,90.0,AR,1529586000.0,92.0,-54.81,-68.31,30.2,25.28
158,port alfred,0.0,ZA,1529587820.0,63.0,-33.59,26.89,70.37,8.52
159,longyearbyen,75.0,SJ,1529585400.0,75.0,78.22,15.64,42.8,9.17
161,kaeo,76.0,NZ,1529587609.0,83.0,-35.1,173.78,53.37,14.56
163,rikitea,44.0,PF,1529587586.0,100.0,-23.12,-134.97,71.73,7.29
164,san cristobal,0.0,EC,1529587837.0,92.0,-1.02,-79.44,66.23,1.92
165,ordzhonikidze,12.0,UA,1529587836.0,61.0,44.96,35.36,82.16,3.04
166,albany,32.0,AU,1529587647.0,94.0,-35.02,117.88,51.12,2.93
167,broome,0.0,AU,1529586000.0,40.0,-17.97,122.23,71.6,10.29
168,rikitea,44.0,PF,1529587586.0,100.0,-23.12,-134.97,71.73,7.29
170,maricka,20.0,BA,1529586000.0,52.0,44.87,16.84,89.6,5.82
171,rikitea,44.0,PF,1529587586.0,100.0,-23.12,-134.97,71.73,7.29
172,carnarvon,0.0,AU,1529587839.0,98.0,-24.87,113.63,62.81,16.24
173,east london,0.0,ZA,1529586000.0,60.0,-33.02,27.91,69.8,5.82
174,hilo,75.0,US,1529585760.0,73.0,19.71,-155.08,69.8,5.82
175,saint-philippe,90.0,RE,1529586000.0,57.0,-21.36,55.77,77.0,6.93
176,yellowknife,40.0,CA,1529586000.0,68.0,62.45,-114.38,64.4,11.41
177,hithadhoo,20.0,MV,1529587611.0,100.0,-0.6,73.08,83.35,5.61
178,male,75.0,MV,1529582400.0,83.0,4.17,73.51,84.2,13.87
179,kavieng,0.0,PG,1529587611.0,100.0,-2.57,150.8,83.44,4.27
181,broken hill,0.0,AU,1529587611.0,89.0,-31.97,141.45,41.31,7.85
182,caconda,0.0,AO,1529587840.0,22.0,-13.73,15.06,76.85,6.06
183,saldanha,75.0,ZA,1529586000.0,76.0,-33.01,17.94,60.8,17.22
184,punta arenas,40.0,CL,1529586000.0,100.0,-53.16,-70.91,32.0,20.8
185,kruisfontein,0.0,ZA,1529587809.0,65.0,-34.0,24.73,66.32,9.19
186,ushuaia,90.0,AR,1529586000.0,92.0,-54.81,-68.31,30.2,25.28
187,poum,64.0,NC,1529587840.0,100.0,-20.23,164.02,71.99,15.23
188,tawau,75.0,MY,1529582400.0,94.0,4.26,117.89,80.6,1.12
190,albany,32.0,AU,1529587647.0,94.0,-35.02,117.88,51.12,2.93
191,pareora,0.0,NZ,1529587841.0,100.0,-44.49,171.21,26.63,2.71
192,ushuaia,90.0,AR,1529586000.0,92.0,-54.81,-68.31,30.2,25.28
193,beringovskiy,64.0,RU,1529587590.0,100.0,63.05,179.32,37.71,4.38
194,tura,92.0,RU,1529587832.0,83.0,64.27,100.22,61.37,2.59
195,tiksi,68.0,RU,1529587559.0,74.0,71.64,128.87,51.21,4.61
196,nikolskoye,75.0,RU,1529586000.0,77.0,59.7,30.79,62.6,11.18
197,cape town,75.0,ZA,1529586000.0,48.0,-33.93,18.42,62.6,12.75
199,rikitea,44.0,PF,1529587586.0,100.0,-23.12,-134.97,71.73,7.29
202,mar del plata,0.0,AR,1529587614.0,73.0,-46.43,-67.52,36.81,18.14
204,luang prabang,75.0,LA,1529582400.0,74.0,19.89,102.14,84.2,2.24
205,lebu,44.0,CL,1529587813.0,100.0,-37.62,-73.65,52.73,7.85
206,tura,92.0,RU,1529587832.0,83.0,64.27,100.22,61.37,2.59
207,zemio,44.0,CF,1529587842.0,84.0,5.02,25.13,77.84,4.83
209,port macquarie,75.0,AU,1529586000.0,93.0,-31.43,152.91,51.8,4.7
210,leningradskiy,24.0,RU,1529587616.0,92.0,69.38,178.42,31.15,13.56
211,saskylakh,92.0,RU,1529587602.0,66.0,71.97,114.09,61.47,13.0
212,ribeira grande,20.0,PT,1529586000.0,73.0,38.52,-28.7,73.4,4.7
214,sambava,20.0,MG,1529587843.0,100.0,-14.27,50.17,76.94,21.05
216,new norfolk,75.0,AU,1529586000.0,80.0,-42.78,147.06,41.0,6.93
217,alice springs,0.0,AU,1529586000.0,60.0,-23.7,133.88,41.0,5.82
218,nikolskoye,75.0,RU,1529586000.0,77.0,59.7,30.79,62.6,11.18
219,north bend,90.0,US,1529586900.0,87.0,43.41,-124.22,57.2,2.93
220,mehamn,90.0,NO,1529585400.0,93.0,71.03,27.85,46.4,13.87
221,ribeira grande,20.0,PT,1529586000.0,73.0,38.52,-28.7,73.4,4.7
223,morondava,0.0,MG,1529587618.0,55.0,-20.3,44.28,84.43,4.5
224,tezu,88.0,IN,1529587844.0,96.0,27.93,96.16,68.21,1.7
225,richards bay,0.0,ZA,1529587836.0,70.0,-28.77,32.06,70.91,8.86
227,tazovskiy,76.0,RU,1529587618.0,56.0,67.47,78.7,70.3,20.71
228,dambovicioara,44.0,RO,1529587845.0,61.0,45.45,25.23,72.44,2.26
229,cascavel,0.0,BR,1529587619.0,82.0,-24.96,-53.44,64.62,6.62
230,faanui,92.0,PF,1529587845.0,100.0,-16.48,-151.75,78.11,16.58
231,vardo,90.0,NO,1529585400.0,93.0,70.37,31.11,44.6,9.17
232,bluff,88.0,NZ,1529587597.0,100.0,-46.6,168.33,44.65,3.15
233,saurimo,20.0,AO,1529582400.0,26.0,-9.66,20.4,84.2,4.05
234,georgetown,12.0,SH,1529587846.0,100.0,-7.93,-14.42,78.11,19.48
235,butaritari,88.0,KI,1529587846.0,100.0,3.07,172.79,83.6,7.74
236,praia da vitoria,20.0,PT,1529586000.0,73.0,38.73,-27.07,71.6,7.52
237,tonder,40.0,DK,1529585400.0,71.0,54.93,8.87,55.4,24.16
238,kapaa,90.0,US,1529585760.0,83.0,22.08,-159.32,78.8,7.29
239,butaritari,88.0,KI,1529587846.0,100.0,3.07,172.79,83.6,7.74
240,ushuaia,90.0,AR,1529586000.0,92.0,-54.81,-68.31,30.2,25.28
241,chillicothe,90.0,US,1529586900.0,88.0,39.33,-82.98,69.8,6.93
242,fortuna,90.0,US,1529586000.0,93.0,40.6,-124.16,55.4,5.39
243,ushuaia,90.0,AR,1529586000.0,92.0,-54.81,-68.31,30.2,25.28
244,kaitangata,68.0,NZ,1529587848.0,78.0,-46.28,169.85,36.26,4.05
245,arraial do cabo,0.0,BR,1529586000.0,73.0,-22.97,-42.02,75.2,4.7
246,taksimo,8.0,RU,1529587848.0,65.0,56.36,114.84,57.86,3.27
247,mount gambier,36.0,AU,1529587848.0,85.0,-37.83,140.78,39.95,3.71
248,cockburn town,0.0,TC,1529587622.0,97.0,21.46,-71.14,82.26,7.74
249,nanortalik,92.0,GL,1529587607.0,95.0,60.14,-45.24,37.45,17.81
250,bredasdorp,0.0,ZA,1529586000.0,18.0,-34.53,20.04,73.4,23.04
251,ushuaia,90.0,AR,1529586000.0,92.0,-54.81,-68.31,30.2,25.28
252,saint-pierre,0.0,PM,1529586000.0,76.0,46.77,-56.17,51.8,18.34
253,caconda,0.0,AO,1529587840.0,22.0,-13.73,15.06,76.85,6.06
254,ribeira grande,20.0,PT,1529586000.0,73.0,38.52,-28.7,73.4,4.7
256,albany,32.0,AU,1529587647.0,94.0,-35.02,117.88,51.12,2.93
257,sola,20.0,VU,1529587849.0,99.0,-13.88,167.55,79.46,13.67
258,touros,76.0,BR,1529587849.0,68.0,-5.2,-35.46,83.96,17.69
259,nandu,0.0,CN,1529582400.0,61.0,31.44,119.33,78.8,11.18
260,yellowknife,40.0,CA,1529586000.0,68.0,62.45,-114.38,64.4,11.41
261,kapaa,90.0,US,1529585760.0,83.0,22.08,-159.32,78.8,7.29
263,christchurch,0.0,NZ,1529584200.0,92.0,-43.53,172.64,28.4,3.04
264,balikpapan,20.0,ID,1529584200.0,78.0,-1.24,116.86,82.4,4.7
265,dikson,0.0,RU,1529587832.0,84.0,73.51,80.55,35.99,19.48
266,cape town,75.0,ZA,1529586000.0,48.0,-33.93,18.42,62.6,12.75
267,port hardy,90.0,CA,1529587500.0,93.0,50.7,-127.42,51.8,6.93
268,ostrovnoy,80.0,RU,1529587851.0,89.0,68.05,39.51,47.42,4.83
270,arraial do cabo,0.0,BR,1529586000.0,73.0,-22.97,-42.02,75.2,4.7
271,whitehorse,75.0,CA,1529582400.0,48.0,60.72,-135.06,60.8,10.29
273,sitka,12.0,US,1529587851.0,55.0,37.17,-99.65,74.24,10.65
276,niquelandia,0.0,BR,1529587851.0,52.0,-14.47,-48.46,81.71,11.21
277,mapimi,5.0,MX,1529584920.0,50.0,25.82,-103.85,78.8,3.6
278,busselton,68.0,AU,1529587794.0,100.0,-33.64,115.35,60.57,7.29
279,punta arenas,40.0,CL,1529586000.0,100.0,-53.16,-70.91,32.0,20.8
280,miri,90.0,MY,1529582400.0,94.0,4.41,114.01,77.0,4.7
281,bredasdorp,0.0,ZA,1529586000.0,18.0,-34.53,20.04,73.4,23.04
282,henties bay,12.0,NA,1529587663.0,95.0,-22.12,14.28,62.1,5.84
284,punta arenas,40.0,CL,1529586000.0,100.0,-53.16,-70.91,32.0,20.8
285,jamestown,32.0,SH,1529587815.0,100.0,-15.94,-5.72,70.82,17.13
286,vargem grande do sul,0.0,BR,1529582400.0,72.0,-21.83,-46.89,60.8,2.24
287,hobart,75.0,AU,1529586000.0,80.0,-42.88,147.33,41.0,6.93
288,henties bay,12.0,NA,1529587663.0,95.0,-22.12,14.28,62.1,5.84
289,jamestown,32.0,SH,1529587815.0,100.0,-15.94,-5.72,70.82,17.13
290,idritsa,0.0,RU,1529587628.0,54.0,56.33,28.9,77.5,18.03
291,tuatapere,8.0,NZ,1529587853.0,100.0,-46.13,167.69,34.46,1.92
292,hermanus,0.0,ZA,1529587598.0,47.0,-34.42,19.24,61.75,13.11
293,ponta do sol,75.0,PT,1529586000.0,77.0,32.67,-17.1,68.0,16.11
294,hambantota,44.0,LK,1529587789.0,100.0,6.12,81.12,79.56,17.69
296,albany,32.0,AU,1529587647.0,94.0,-35.02,117.88,51.12,2.93
298,dikson,0.0,RU,1529587832.0,84.0,73.51,80.55,35.99,19.48
299,barrow,90.0,US,1529585700.0,94.0,39.51,-90.4,73.4,5.95
300,cape town,75.0,ZA,1529586000.0,48.0,-33.93,18.42,62.6,12.75
301,puerto ayora,20.0,EC,1529586000.0,73.0,-0.74,-90.35,73.4,12.75
302,albany,32.0,AU,1529587647.0,94.0,-35.02,117.88,51.12,2.93
303,vic,20.0,ES,1529586000.0,33.0,41.93,2.25,89.6,11.41
304,hithadhoo,20.0,MV,1529587611.0,100.0,-0.6,73.08,83.35,5.61
305,ushuaia,90.0,AR,1529586000.0,92.0,-54.81,-68.31,30.2,25.28
306,hervey bay,88.0,AU,1529587630.0,92.0,-25.3,152.85,66.87,11.54
307,bucksport,1.0,US,1529586900.0,88.0,33.66,-79.1,84.2,4.05
309,atuona,56.0,PF,1529587813.0,99.0,-9.8,-139.03,81.08,14.0
310,benguela,0.0,AO,1529582400.0,69.0,-12.58,13.4,77.0,11.41
311,atuona,56.0,PF,1529587813.0,99.0,-9.8,-139.03,81.08,14.0
312,tiksi,68.0,RU,1529587559.0,74.0,71.64,128.87,51.21,4.61
313,albany,32.0,AU,1529587647.0,94.0,-35.02,117.88,51.12,2.93
314,ponta do sol,8.0,CV,1529587856.0,100.0,17.2,-25.09,72.98,13.56
315,naze,92.0,JP,1529587631.0,100.0,28.37,129.48,76.32,6.06
316,inta,56.0,RU,1529587631.0,66.0,66.04,60.13,62.91,6.4
317,punta arenas,40.0,CL,1529586000.0,100.0,-53.16,-70.91,32.0,20.8
318,itaperucu,0.0,BR,1529587856.0,67.0,-25.22,-49.35,71.72,4.27
319,aktau,0.0,KZ,1529586000.0,34.0,43.65,51.16,82.4,17.9
320,ahipara,0.0,NZ,1529587857.0,100.0,-35.17,173.16,51.92,14.9
321,zhanaozen,80.0,KZ,1529587857.0,19.0,43.35,52.85,90.89,5.06
322,hithadhoo,20.0,MV,1529587611.0,100.0,-0.6,73.08,83.35,5.61
323,nikolskoye,75.0,RU,1529586000.0,77.0,59.7,30.79,62.6,11.18
324,aklavik,40.0,CA,1529586000.0,71.0,68.22,-135.01,53.6,8.05
325,butaritari,88.0,KI,1529587846.0,100.0,3.07,172.79,83.6,7.74
326,kapaa,90.0,US,1529585760.0,83.0,22.08,-159.32,78.8,7.29
327,ribeira grande,20.0,PT,1529586000.0,73.0,38.52,-28.7,73.4,4.7
328,teguldet,76.0,RU,1529587858.0,50.0,57.31,88.17,67.58,5.61
329,pilot butte,90.0,CA,1529582400.0,76.0,50.48,-104.42,57.2,3.36
330,vostok,92.0,RU,1529587859.0,100.0,46.45,135.83,54.08,2.37
331,college,1.0,US,1529585880.0,52.0,64.86,-147.8,66.2,8.05
332,butaritari,88.0,KI,1529587846.0,100.0,3.07,172.79,83.6,7.74
333,mar del plata,0.0,AR,1529587614.0,73.0,-46.43,-67.52,36.81,18.14
334,tondano,20.0,ID,1529586000.0,94.0,1.3,124.91,77.0,2.24
335,rikitea,44.0,PF,1529587586.0,100.0,-23.12,-134.97,71.73,7.29
337,sitka,12.0,US,1529587851.0,55.0,37.17,-99.65,74.24,10.65
338,tasiilaq,92.0,GL,1529585400.0,75.0,65.61,-37.64,41.0,29.97
339,beringovskiy,64.0,RU,1529587590.0,100.0,63.05,179.32,37.71,4.38
340,acandi,44.0,CO,1529587860.0,93.0,8.51,-77.28,79.82,2.04
341,cape town,75.0,ZA,1529586000.0,48.0,-33.93,18.42,62.6,12.75
342,richards bay,0.0,ZA,1529587836.0,70.0,-28.77,32.06,70.91,8.86
343,shache,24.0,CN,1529587635.0,25.0,38.42,77.24,85.23,9.86
344,eldorado,0.0,AR,1529587861.0,71.0,-26.4,-54.63,74.96,2.93
345,vaini,5.0,TO,1529586000.0,100.0,-21.2,-175.2,69.8,3.15
346,dikson,0.0,RU,1529587832.0,84.0,73.51,80.55,35.99,19.48
348,pierre,20.0,US,1529585580.0,93.0,44.37,-100.35,62.6,6.17
349,sao filipe,0.0,CV,1529587831.0,91.0,14.9,-24.5,75.68,12.77
350,dingle,8.0,IE,1529587861.0,96.0,52.14,-10.27,56.06,12.77
351,chuy,8.0,UY,1529587862.0,81.0,-33.69,-53.46,65.51,18.48
352,sao miguel do araguaia,0.0,BR,1529587637.0,80.0,-13.28,-50.16,72.1,7.63
353,uvira,92.0,CD,1529587862.0,100.0,-3.41,29.14,63.62,3.49
354,rikitea,44.0,PF,1529587586.0,100.0,-23.12,-134.97,71.73,7.29
355,maceio,40.0,BR,1529586000.0,74.0,-9.67,-35.74,78.8,11.41
356,pisco,90.0,PE,1529586000.0,88.0,-13.71,-76.2,62.6,3.36
357,thompson,20.0,CA,1529582400.0,72.0,55.74,-97.86,62.6,5.82
358,avarua,20.0,CK,1529586000.0,83.0,-21.21,-159.78,73.4,6.93
359,margate,0.0,ZA,1529587863.0,71.0,-30.86,30.37,72.62,19.82
360,mount gambier,36.0,AU,1529587848.0,85.0,-37.83,140.78,39.95,3.71
361,leninskoye,0.0,RU,1529586000.0,53.0,54.82,82.85,73.4,8.95
362,vryheid,0.0,ZA,1529587666.0,15.0,-27.77,30.79,75.51,6.96
363,grootfontein,0.0,NA,1529587863.0,21.0,-19.56,18.1,74.33,6.51
364,mattru,76.0,SL,1529587864.0,74.0,7.62,-11.83,83.51,6.96
365,novosokolniki,0.0,RU,1529587864.0,48.0,56.35,30.15,77.66,16.69
366,dongli,40.0,CN,1529586000.0,83.0,24.18,117.61,84.2,4.47
367,pasni,68.0,PK,1529587639.0,85.0,25.26,63.48,88.47,16.69
368,zhengjiatun,0.0,CN,1529587865.0,61.0,43.51,123.51,64.97,2.71
369,hilo,75.0,US,1529585760.0,73.0,19.71,-155.08,69.8,5.82
370,le port,40.0,RE,1529586000.0,73.0,-20.94,55.29,77.0,12.75
371,bredasdorp,0.0,ZA,1529586000.0,18.0,-34.53,20.04,73.4,23.04
372,dikson,0.0,RU,1529587832.0,84.0,73.51,80.55,35.99,19.48
373,svelvik,75.0,NO,1529585400.0,81.0,59.61,10.41,59.0,9.17
374,abha,40.0,SA,1529586000.0,16.0,18.22,42.5,87.8,13.87
375,ponta do sol,8.0,CV,1529587856.0,100.0,17.2,-25.09,72.98,13.56
376,isangel,0.0,VU,1529587654.0,100.0,-19.55,169.27,72.72,13.11
377,severo-kurilsk,92.0,RU,1529587866.0,99.0,50.68,156.12,39.86,11.88
378,ushuaia,90.0,AR,1529586000.0,92.0,-54.81,-68.31,30.2,25.28
